;target_day_n;target_day_engagement;target_day_prop;random_day_n;random_day_engagement;random_day_prop;comparison_metric;comparison_metric_weighted;hot_topic
barcelona;135;972;0.09594882729211088;1.0;1.0;0.0009191176470588235;10.016321075099677;312.2779861259201;1
spanje;27;137;0.019189765458422176;2.0;3.0;0.001838235294117647;0.20032642150199356;1.3537481912325042;1
spaans;39;226;0.02771855010660981;6.0;11.0;0.0055147058823529415;0.13932166762895848;0.631504633109511;1
cambrils;29;140;0.02061122956645345;0.0;0.0;0.001;0.4248227842410448;0.4248227842410448;1
pukkelpop;29;82;0.02061122956645345;0.0;0.0;0.001;0.4248227842410448;0.4248227842410448;1
ramblas;29;272;0.02061122956645345;0.0;0.0;0.001;0.4248227842410448;0.4248227842410448;1
waarom;14;31;0.009950248756218905;2.0;2.0;0.001838235294117647;0.05386005296898592;0.21204724058624416;1
vlaams;14;45;0.009950248756218905;2.0;5.0;0.001838235294117647;0.05386005296898592;0.16158015890695776;1
trump;31;159;0.02203269367448472;13.0;11.0;0.011948529411764705;0.040627559578646374;0.1544624629226135;1
fins;16;119;0.011371712864250177;0.0;0.0;0.001;0.12931585346695296;0.12931585346695296;1
extreemrechts;13;95;0.00923951670220327;0.0;0.0;0.001;0.08536866889029317;0.08536866889029317;0
turku;13;99;0.00923951670220327;0.0;0.0;0.001;0.08536866889029317;0.08536866889029317;0
metro;13;1;0.00923951670220327;0.0;0.0;0.001;0.08536866889029317;0.08536866889029317;0
europa;16;63;0.011371712864250177;4.0;14.0;0.003676470588235294;0.03517391214301121;0.07461513539154921;0
gent;7;16;0.004975124378109453;1.0;3.0;0.0009191176470588235;0.02693002648449296;0.06219223216042304;0
steve bannon;11;31;0.007818052594171997;0.0;0.0;0.001;0.061121946365239495;0.061121946365239495;0
vlamingen;10;33;0.007107320540156361;0.0;0.0;0.001;0.05051400526052851;0.05051400526052851;0
barcelona ;10;111;0.007107320540156361;0.0;0.0;0.001;0.05051400526052851;0.05051400526052851;0
brussels;7;8;0.004975124378109453;1.0;3.0;0.0009191176470588235;0.02693002648449296;0.043976549097763225;0
nederlands;16;30;0.011371712864250177;5.0;13.0;0.004595588235294118;0.028139129714408965;0.042746406625883596;0
raad van state;9;33;0.006396588486140725;0.0;0.0;0.001;0.04091634426102809;0.04091634426102809;0
in beeld;7;9;0.004975124378109453;2.0;1.0;0.001838235294117647;0.01346501324224648;0.04039503972673944;0
league;8;2;0.005685856432125089;0.0;0.0;0.001;0.03232896336673824;0.03232896336673824;0
bannon;7;23;0.004975124378109453;0.0;0.0;0.001;0.02475186257765897;0.02475186257765897;0
belg;13;31;0.00923951670220327;5.0;47.0;0.004595588235294118;0.018576222350527794;0.018576222350527794;0
nokia;6;14;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
cia;6;87;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
sierra leone;6;11;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
catalonië;6;44;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
freek braeckman;6;96;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
gingelom;6;5;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
finland;6;28;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
coucke;6;5;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
recensie;6;14;0.0042643923240938165;0.0;0.0;0.001;0.018185041893790263;0.018185041893790263;0
vs;12;51;0.008528784648187633;9.0;20.0;0.008272058823529412;0.008793478035752802;0.014042058350235934;0
parijs;5;7;0.0035536602700781805;1.0;9.0;0.0009191176470588235;0.013739809430863755;0.013739809430863755;0
belgen;16;61;0.011371712864250177;11.0;67.0;0.01011029411764706;0.01279051350654953;0.01279051350654953;0
uplace;5;11;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
turkije;5;10;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
koreaans;5;7;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
vier;5;13;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
lars;5;28;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
sodexo;5;2;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
catalaans;5;22;0.0035536602700781805;0.0;0.0;0.001;0.012628501315132127;0.012628501315132127;0
belgisch;26;99;0.01847903340440654;37.0;486.0;0.03400735294117647;0.010041201270555565;0.010041201270555565;0
video;13;29;0.00923951670220327;10.0;51.0;0.009191176470588236;0.009288111175263897;0.009288111175263897;0
president trump;4;21;0.0028429282160625444;1.0;0.0;0.0009191176470588235;0.008793478035752802;0.008793478035752802;0
spotify;4;10;0.0028429282160625444;0.0;0.0;0.001;0.00808224084168456;0.00808224084168456;0
pvda;4;17;0.0028429282160625444;0.0;0.0;0.001;0.00808224084168456;0.00808224084168456;0
salah abdeslam;4;10;0.0028429282160625444;0.0;0.0;0.001;0.00808224084168456;0.00808224084168456;0
wuppertal;4;11;0.0028429282160625444;0.0;0.0;0.001;0.00808224084168456;0.00808224084168456;0
