;target_day_n;target_day_engagement;target_day_prop;random_day_n;random_day_engagement;random_day_prop;comparison_metric;comparison_metric_weighted;hot_topic
wenen;57;1016;0.051583710407239816;0.0;0.0;0.001;51.58371040723981;1644.218126115884;1
johnny depp;12;67;0.01085972850678733;0.0;0.0;0.001;10.859728506787329;88.89070883481394;1
nieuw-zeeland;6;268;0.005429864253393665;0.0;0.0;0.001;5.4298642533936645;88.89070883481394;1
nederland;8;112;0.007239819004524887;0.0;0.0;0.001;7.239819004524887;76.61904249236824;1
amerika;17;90;0.015384615384615385;1.0;5.0;0.0008658008658008658;17.76923076923077;75.38846144035037;1
sinterklaas;4;375;0.0036199095022624436;0.0;0.0;0.001;3.6199095022624435;70.09924608520211;1
ward verrijcken;5;233;0.004524886877828055;0.0;0.0;0.001;4.524886877828054;69.06940055417985;1
oostenrijk;5;165;0.004524886877828055;0.0;0.0;0.001;4.524886877828054;58.12322433785126;1
kastiop;5;162;0.004524886877828055;0.0;0.0;0.001;4.524886877828054;57.59240751745636;1
turkije;8;245;0.007239819004524887;1.0;6.0;0.0008658008658008658;8.361990950226245;53.43392913941802;1
ward;1;1330;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;33.00376928291488;0
❤ ️ rust;1;1330;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;33.00376928291488;0
fod;5;47;0.004524886877828055;0.0;0.0;0.001;4.524886877828054;31.021061540276214;0
robert fisk;5;40;0.004524886877828055;0.0;0.0;0.001;4.524886877828054;28.617897377089406;0
turks;2;231;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;27.508930594698032;0
kerstmis;4;55;0.0036199095022624436;0.0;0.0;0.001;3.6199095022624435;26.84596737410195;0
dina tersago;7;16;0.006334841628959276;0.0;0.0;0.001;6.334841628959276;25.339366515837103;0
weyts;4;42;0.0036199095022624436;0.0;0.0;0.001;3.6199095022624435;23.45969483586556;0
dimitri vegas;3;71;0.0027149321266968325;0.0;0.0;0.001;2.7149321266968323;22.876424723555722;0
like mike;3;71;0.0027149321266968325;0.0;0.0;0.001;2.7149321266968323;22.876424723555722;0
thorup;6;15;0.005429864253393665;0.0;0.0;0.001;5.4298642533936645;21.029773825560632;0
uz leuven;3;58;0.0027149321266968325;0.0;0.0;0.001;2.7149321266968323;20.67630707474364;0
pierre van damme;3;56;0.0027149321266968325;0.0;0.0;0.001;2.7149321266968323;20.316691692890178;0
amerikan;5;19;0.004524886877828055;0.0;0.0;0.001;4.524886877828054;19.723524631405763;0
terreurexpert van ostaeyen;1;453;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;19.261354437821506;0
prins william;4;28;0.0036199095022624436;0.0;0.0;0.001;3.6199095022624435;19.15476062309206;0
